0.642,0.217889972855231,0.369,0.273,0.0647016669950768
-0.11,-0.28802480993943,-0.432,0.322,0.0507972392887435
0.59,0.188155963526408,0.329,0.261,0.0506965998756416
-0.48,-0.47256061426664,-0.723,0.243,0.0530129576083186
-0.58,-0.662530162267216,-1.155,0.575,0.0440860723751601
0.17,-0.118454820017276,-0.553,0.723,0.0826454195855747
0.02,-0.278912334078328,-0.522,0.542,0.0858963656266866
100.375,-1.71079180990484,-125.625,226,12.3273285092245
43.188,1.92986357894066,-120.188,163.376,13.3828423582916
65.812,1.19536503515144,-48.062,113.874,10.4609294269128
