0.885,0.726,0.408,-0.039,1.16,0.125,0.25,103,90.375,74.5
-0.211,0.141,-0.245,-0.54,1.209,0.128,0.114,86.938,149.062,91.062
0.9,0.659,0.513,0.334,1.35,0.183,0.178,99.438,157.438,81.5
-0.699,-0.41,0.003,0.304,1.43,0.158,0.195,74.812,102,67.688
0.647,0.027,0.628,-0.494,-0.551,0.1,0.065,100.938,50.375,76.375
0.28,0.453,-0.321,-0.702,1.299,0.197,0.037,90.125,98,43.188
0.947,0.62,0.603,0.931,1.7,0.343,0.048,138.688,103.5,73.875
-0.41,-0.295,0.448,0.754,1.092,0.085,-0.038,75.062,88.188,56.062
-0.377,-0.332,0.506,0.69,1.28,0.119,0.302,85.75,92.625,61.938
-0.291,-0.243,0.476,0.785,1.288,0.043,0.037,90.312,145.75,73.312
-0.61,-0.28,-0.069,-0.205,1.608,0.22,-0.039,78.75,107.938,54
-0.07,-0.13,0.598,0.846,1.314,0.186,0.046,79.375,114.688,102.75
0.395,0.513,-0.388,-0.592,1.736,0.189,0.267,149,208.625,78.938
0.442,0.448,-0.388,-0.631,1.568,0.833,0.057,155.75,349.812,103.25
0.055,0.375,-0.399,-0.723,1.446,-0.025,0.033,101.312,110.25,60.25
0.584,0.367,0.597,0.778,1.208,0.139,-0.064,76.812,101.312,74.562
-0.791,-0.22,0.19,0.369,1.352,0.333,-0.185,133.562,128.25,56.5
0.93,0.67,0.367,0.029,1.084,0.017,-0.002,80.875,94.625,48.188
0.767,0.64,-0.044,-0.332,1.218,0.039,0.075,54.25,67,86.875
0.726,0.623,-0.118,-0.306,1.197,0.171,0.129,75.562,92.062,129.812
0.808,0.651,0.118,-0.156,1.342,0.45,0.101,59.312,120.188,51.938
0.166,0.422,-0.197,-0.711,1.675,0.645,0.019,108.25,165.5,153.562
0.953,0.686,0.219,0.113,1.216,0.161,0.067,87.812,133.688,77.625
0.803,0.697,0.082,-0.243,1.502,0.196,0.33,91,123.688,93.812
0.806,0.456,0.65,0.775,1.073,0.979,-0.013,129.688,120.312,148.75
0.909,0.516,0.558,0.703,1.239,0.279,-0.095,156.438,81.5,63.438
0.945,0.686,0.622,0.214,1.711,0.497,0.308,180.5,253.875,118.188
0.792,0.611,0.065,-0.426,1.448,0.471,-0.099,121.062,170.375,129.938
